video,label,spatial,temporal,frequency,original_score,modified_score,original_fake_score,modified_fake_score
10282.mp4,real,0.8523369437249824,0.9515834706851896,0.2,0.901960207205086,0.6679734714700573,0.09803979279491404,0.33202652852994274
10732.mp4,real,0.7809041676477514,0.955527431127855,0.0,0.8682157993878032,0.5788105329252021,0.13178420061219676,0.4211894670747979
9671.mp4,real,0.9775135389686838,0.7696903696727101,0.2,0.873601954320697,0.6490679695471313,0.12639804567930302,0.3509320304528687
9930.mp4,real,0.7656286790675771,0.9375147162703085,0.0,0.8515716976689428,0.5677144651126286,0.1484283023310572,0.4322855348873714
1087.mp4,fake,0.03690840593360019,0.0011773016246762421,0.0,0.019042853779138214,0.012695235852758809,0.9809571462208618,0.9873047641472412
1343.mp4,fake,0.0007358135154226513,0.16273251707087355,0.0,0.0817341652931481,0.0544894435287654,0.9182658347068519,0.9455105564712346
1822.mp4,fake,0.0,0.002854956439839887,0.2,0.0014274782199199434,0.06761831881327997,0.99857252178008,0.93238168118672
7450.mp4,fake,2.943254061690605e-05,0.001795384977631269,0.2,0.0009124087591240876,0.06727493917274939,0.9990875912408759,0.9327250608272506
28865.mp4,fake,0.0,0.0060042382858488345,0.0,0.0030021191429244172,0.0020014127619496116,0.9969978808570756,0.9979985872380503
7796.mp4,fake,0.001030138921591712,0.2960913586060749,0.0,0.1485607487638333,0.09904049917588886,0.8514392512361667,0.9009595008241111
10967.mp4,fake,0.03608429479632682,0.0053567223922769015,0.0,0.02072050859430186,0.01381367239620124,0.9792794914056981,0.9861863276037988
11450.mp4,fake,0.00335530963032729,0.13986343301153756,0.2,0.07160937132093242,0.11440624754728829,0.9283906286790675,0.8855937524527118
11452.mp4,fake,0.0009418412997409936,0.11931951966093714,0.0,0.060130680480339066,0.040087120320226044,0.9398693195196609,0.959912879679774
11821.mp4,fake,0.025017659524370142,0.004444313633152814,0.0,0.014730986578761478,0.009820657719174319,0.9852690134212385,0.9901793422808257
4734.mp4,fake,0.002913821521073699,0.0744643277607723,0.0,0.038689074640923,0.025792716427281998,0.961310925359077,0.974207283572718
21059.mp4,fake,2.943254061690605e-05,0.0018836825994819873,0.0,0.0009565575700494467,0.0006377050466996312,0.9990434424299506,0.9993622949533004
12485.mp4,fake,0.04688603720273134,0.001707087355780551,0.0,0.024296562279255945,0.01619770818617063,0.9757034377207441,0.9838022918138294
12553.mp4,fake,0.00223687308688486,0.057511184365434426,0.0,0.029874028726159643,0.019916019150773095,0.9701259712738404,0.9800839808492269
12775.mp4,fake,0.0018836825994819873,0.05318460089474923,0.2,0.02753414174711561,0.08502276116474373,0.9724658582528843,0.9149772388352563
12818.mp4,fake,8.829762185071815e-05,0.0719625618083353,0.0,0.03602542971509301,0.02401695314339534,0.963974570284907,0.9759830468566046
12850.mp4,fake,0.009595008241111373,0.0030904167647751355,0.0,0.006342712502943254,0.00422847500196217,0.9936572874970567,0.9957715249980378
12899.mp4,fake,0.0025900635742877325,0.0860901813044502,0.0,0.04434012243936897,0.029560081626245977,0.9556598775606311,0.970439918373754
12957.mp4,fake,0.0014127619496114904,0.08820932422886743,0.2,0.04481104308923946,0.09654069539282632,0.9551889569107606,0.9034593046071737
13023.mp4,fake,0.01036025429715093,0.009271250294325406,0.0,0.009815752295738167,0.0065438348638254444,0.9901842477042618,0.9934561651361745
13116.mp4,fake,0.0021191429244172355,0.10533906286790676,0.8,0.053729102896162,0.30248606859744137,0.946270897103838,0.6975139314025587
13387.mp4,fake,0.001795384977631269,0.08082175653402401,0.0,0.04130857075582764,0.02753904717055176,0.9586914292441724,0.9724609528294482
13430.mp4,fake,0.0016187897339298327,0.08182246291499883,0.4,0.04172062632446433,0.16114708421630955,0.9582793736755357,0.8388529157836905
13560.mp4,fake,0.002442900871203202,0.02534141747115611,0.0,0.013892159171179655,0.009261439447453104,0.9861078408288203,0.9907385605525469
13648.mp4,fake,0.002207440546267954,0.07337532375794678,0.0,0.03779138215210737,0.025194254768071578,0.9622086178478926,0.9748057452319284
26490.mp4,fake,0.0,0.005121262067341653,0.0,0.0025606310336708264,0.001707087355780551,0.9974393689663291,0.9982929126442195
