Video,Label,Spatial,Temporal,Frequency,Original STALL,STALL + Frequency
6282.mp4,real,0.8704379562043796,0.959912879679774,0.3333333333333333,0.9151754179420768,0.721228056405829
6501.mp4,real,0.9282434659759831,0.9497586531669414,0.6666666666666666,0.9390010595714622,0.8482229286031969
6673.mp4,real,0.8257004944666824,0.9748351777725454,0.2222222222222222,0.9002678361196139,0.6742526314871501
6770.mp4,real,0.8306745938309394,0.8723805038850954,0.4444444444444444,0.8515275488580174,0.7158331807201597
8807.mp4,real,0.8695549799858724,0.6388627266305628,0.7777777777777778,0.7542088533082176,0.7620651614647377
10282.mp4,real,0.8523369437249824,0.9515834706851896,0.8888888888888888,0.901960207205086,0.897603101099687
10732.mp4,real,0.7809041676477514,0.955527431127855,0.1111111111111111,0.8682157993878032,0.6158475699622392
9671.mp4,real,0.9775135389686838,0.7696903696727101,0.7777777777777778,0.873601954320697,0.8416605621397238
9930.mp4,real,0.7656286790675771,0.9375147162703085,0.4444444444444444,0.8515716976689428,0.7158626132607767
1087.mp4,fake,0.03690840593360019,0.0011773016246762421,0.0,0.019042853779138214,0.012695235852758809
1343.mp4,fake,0.0007358135154226513,0.16273251707087355,0.0,0.0817341652931481,0.0544894435287654
1822.mp4,fake,0.0,0.002854956439839887,1.0,0.0014274782199199434,0.3342849854799466
7450.mp4,fake,2.943254061690605e-05,0.001795384977631269,1.0,0.0009124087591240876,0.33394160583941607
28865.mp4,fake,0.0,0.0060042382858488345,0.0,0.0030021191429244172,0.0020014127619496116
7796.mp4,fake,0.001030138921591712,0.2960913586060749,0.0,0.1485607487638333,0.09904049917588886
10967.mp4,fake,0.03608429479632682,0.0053567223922769015,0.0,0.02072050859430186,0.01381367239620124
11450.mp4,fake,0.00335530963032729,0.13986343301153756,0.0,0.07160937132093242,0.047739580880621614
11452.mp4,fake,0.0009418412997409936,0.11931951966093714,0.3333333333333333,0.060130680480339066,0.15119823143133715
11821.mp4,fake,0.025017659524370142,0.004444313633152814,0.6666666666666666,0.014730986578761478,0.23204287994139652
4734.mp4,fake,0.002913821521073699,0.0744643277607723,0.3333333333333333,0.038689074640923,0.1369038275383931
21059.mp4,fake,2.943254061690605e-05,0.0018836825994819873,0.0,0.0009565575700494467,0.0006377050466996312
12485.mp4,fake,0.04688603720273134,0.001707087355780551,0.0,0.024296562279255945,0.01619770818617063
12553.mp4,fake,0.00223687308688486,0.057511184365434426,0.0,0.029874028726159643,0.019916019150773095
12775.mp4,fake,0.0018836825994819873,0.05318460089474923,1.0,0.02753414174711561,0.35168942783141044
12818.mp4,fake,8.829762185071815e-05,0.0719625618083353,0.0,0.03602542971509301,0.02401695314339534
12850.mp4,fake,0.009595008241111373,0.0030904167647751355,0.0,0.006342712502943254,0.00422847500196217
12899.mp4,fake,0.0025900635742877325,0.0860901813044502,0.0,0.04434012243936897,0.029560081626245977
12957.mp4,fake,0.0014127619496114904,0.08820932422886743,0.8888888888888888,0.04481104308923946,0.3261703250224559
13023.mp4,fake,0.01036025429715093,0.009271250294325406,0.0,0.009815752295738167,0.0065438348638254444
13116.mp4,fake,0.0021191429244172355,0.10533906286790676,0.4444444444444444,0.053729102896162,0.18396755007892282
13387.mp4,fake,0.001795384977631269,0.08082175653402401,0.0,0.04130857075582764,0.02753904717055176
13430.mp4,fake,0.0016187897339298327,0.08182246291499883,0.8888888888888888,0.04172062632446433,0.3241100471792725
13560.mp4,fake,0.002442900871203202,0.02534141747115611,0.0,0.013892159171179655,0.009261439447453104
13648.mp4,fake,0.002207440546267954,0.07337532375794678,0.0,0.03779138215210737,0.025194254768071578
26490.mp4,fake,0.0,0.005121262067341653,0.0,0.0025606310336708264,0.001707087355780551
